production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes,line_id,shift,units_produced,efficiency
PROD00000,2026-03-01 00:00:00,Plant_B,Contact Lens,462,Grinding_M1,21.84,170.58,53,Line_2,Day,116,0.85
PROD00001,2026-03-01 01:00:00,Plant_A,Reading Glasses,458,Coating_M2,28.23,342.46,23,Line_1,Day,265,0.71
PROD00002,2026-03-01 02:00:00,Plant_A,Optical Frame,207,Coating_M2,70.61,226.32,48,Line_1,Night,287,0.82
PROD00003,2026-03-01 03:00:00,Plant_A,Contact Lens,333,Assembly_M3,70.39,272.74,29,Line_1,Day,127,0.89
PROD00004,2026-03-01 04:00:00,Plant_B,Prescription Lens,434,Grinding_M1,77.31,282.76,1,Line_1,Night,120,0.99
PROD00005,2026-03-01 05:00:00,Plant_B,Sunglasses,160,Assembly_M3,52.78,466.75,13,Line_1,Night,237,0.76
PROD00006,2026-03-01 06:00:00,Plant_A,Reading Glasses,230,Coating_M2,47.97,126.52,14,Line_2,Day,155,0.85
PROD00007,2026-03-01 07:00:00,Plant_B,Contact Lens,459,Coating_M2,52.32,368.24,7,Line_2,Night,200,0.91
PROD00008,2026-03-01 08:00:00,Plant_B,Prescription Lens,459,Assembly_M3,75.32,474.79,10,Line_1,Day,441,0.75
PROD00009,2026-03-01 09:00:00,Plant_A,Prescription Lens,332,Assembly_M3,32.59,414.13,57,Line_1,Day,405,0.78
PROD00010,2026-03-01 10:00:00,Plant_A,Prescription Lens,249,Coating_M2,73.66,247.42,1,Line_2,Day,258,0.78
PROD00011,2026-03-01 11:00:00,Plant_B,Reading Glasses,442,Grinding_M1,25.03,230.71,13,Line_1,Night,162,0.8
PROD00012,2026-03-01 12:00:00,Plant_A,Contact Lens,428,Coating_M2,27.35,454.11,49,Line_2,Night,183,0.99
PROD00013,2026-03-01 13:00:00,Plant_A,Sunglasses,414,Assembly_M3,79.8,265.15,7,Line_2,Night,393,0.73
PROD00014,2026-03-01 14:00:00,Plant_A,Optical Frame,137,Assembly_M3,24.96,365.42,59,Line_2,Day,158,0.95
PROD00015,2026-03-01 15:00:00,Plant_B,Optical Frame,445,Assembly_M3,55.82,384.41,44,Line_2,Night,462,0.93
PROD00016,2026-03-01 16:00:00,Plant_A,Reading Glasses,350,Assembly_M3,40.49,360.74,15,Line_1,Day,460,0.76
PROD00017,2026-03-01 17:00:00,Plant_A,Contact Lens,397,Grinding_M1,21.96,333.74,18,Line_2,Night,132,0.78
PROD00018,2026-03-01 18:00:00,Plant_B,Prescription Lens,310,Grinding_M1,40.59,361.24,35,Line_2,Day,349,0.98
PROD00019,2026-03-01 19:00:00,Plant_B,Sunglasses,366,Grinding_M1,32.36,132.62,29,Line_2,Day,357,0.8
PROD00020,2026-03-01 20:00:00,Plant_B,Contact Lens,339,Assembly_M3,73.07,189.95,21,Line_1,Night,430,0.8
PROD00021,2026-03-01 21:00:00,Plant_A,Prescription Lens,242,Assembly_M3,24.69,354.94,41,Line_1,Night,119,0.77
PROD00022,2026-03-01 22:00:00,Plant_B,Sunglasses,474,Grinding_M1,42.71,310.55,42,Line_1,Night,372,0.71
PROD00023,2026-03-01 23:00:00,Plant_B,Contact Lens,157,Grinding_M1,60.39,122.12,39,Line_2,Night,498,0.96
PROD00024,2026-03-02 00:00:00,Plant_A,Reading Glasses,329,Coating_M2,24.6,142.75,34,Line_1,Day,189,0.99
PROD00025,2026-03-02 01:00:00,Plant_B,Prescription Lens,484,Grinding_M1,74.5,435.38,36,Line_1,Day,145,0.75
PROD00026,2026-03-02 02:00:00,Plant_A,Optical Frame,152,Assembly_M3,58.76,499.05,56,Line_1,Night,365,0.97
PROD00027,2026-03-02 03:00:00,Plant_A,Reading Glasses,190,Coating_M2,33.6,331.95,59,Line_2,Night,281,0.8
PROD00028,2026-03-02 04:00:00,Plant_B,Prescription Lens,158,Coating_M2,50.06,471.52,55,Line_1,Night,175,0.92
PROD00029,2026-03-02 05:00:00,Plant_B,Sunglasses,377,Coating_M2,46.62,265.32,30,Line_2,Day,147,0.99
PROD00030,2026-03-02 06:00:00,Plant_B,Contact Lens,354,Grinding_M1,74.13,456.02,50,Line_2,Night,385,0.76
PROD00031,2026-03-02 07:00:00,Plant_A,Optical Frame,151,Grinding_M1,43.1,239.45,42,Line_1,Night,437,0.7
PROD00032,2026-03-02 08:00:00,Plant_A,Sunglasses,264,Coating_M2,47.05,269.64,30,Line_1,Night,439,0.74
PROD00033,2026-03-02 09:00:00,Plant_A,Optical Frame,369,Coating_M2,70.18,142.37,21,Line_2,Night,420,0.83
PROD00034,2026-03-02 10:00:00,Plant_B,Optical Frame,217,Grinding_M1,52.21,274.19,31,Line_2,Night,104,0.81
PROD00035,2026-03-02 11:00:00,Plant_B,Contact Lens,180,Coating_M2,75.13,120.36,45,Line_1,Day,318,0.85
PROD00036,2026-03-02 12:00:00,Plant_B,Contact Lens,231,Grinding_M1,34.08,315.46,47,Line_1,Day,121,0.89
PROD00037,2026-03-02 13:00:00,Plant_B,Prescription Lens,183,Assembly_M3,28.56,191.67,20,Line_1,Night,240,0.73
PROD00038,2026-03-02 14:00:00,Plant_B,Contact Lens,207,Coating_M2,32.5,226.8,14,Line_2,Night,148,0.78
PROD00039,2026-03-02 15:00:00,Plant_A,Reading Glasses,115,Assembly_M3,75.79,497.64,1,Line_2,Night,257,0.93
