inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260201_01,2026-02-01,PROD_GLASS_A1,WAREHOUSE_US_01,8454,23912,2545,29821
inv_20260201_02,2026-02-01,PROD_GLASS_A1,WAREHOUSE_EU_01,14764,23912,0,38676
inv_20260201_03,2026-02-01,PROD_GLASS_A1,WAREHOUSE_APAC_01,4796,23912,0,28708
inv_20260201_04,2026-02-01,PROD_GLASS_A1,WAREHOUSE_US_02,6093,23912,0,30005
inv_20260201_05,2026-02-01,PROD_GLASS_A1,WAREHOUSE_APAC_02,6759,23912,0,30671
inv_20260201_06,2026-02-01,PROD_GLASS_A1,WAREHOUSE_EU_02,14473,23912,0,38385
inv_20260201_07,2026-02-01,PROD_GLASS_B2,WAREHOUSE_US_01,5706,22813,947,27572
inv_20260201_08,2026-02-01,PROD_GLASS_B2,WAREHOUSE_EU_01,7450,22813,1037,29226
inv_20260201_09,2026-02-01,PROD_GLASS_B2,WAREHOUSE_APAC_01,12117,22813,0,34930
inv_20260201_10,2026-02-01,PROD_GLASS_B2,WAREHOUSE_US_02,4741,22813,0,27554
inv_20260201_11,2026-02-01,PROD_GLASS_B2,WAREHOUSE_APAC_02,10236,22813,0,33049
inv_20260201_12,2026-02-01,PROD_GLASS_B2,WAREHOUSE_EU_02,11407,22813,0,34220
inv_20260201_13,2026-02-01,PROD_GLASS_C3,WAREHOUSE_US_01,4765,12624,3370,14019
inv_20260201_14,2026-02-01,PROD_GLASS_C3,WAREHOUSE_EU_01,7180,12624,862,18942
inv_20260201_15,2026-02-01,PROD_GLASS_C3,WAREHOUSE_APAC_01,9346,12624,0,21970
inv_20260201_16,2026-02-01,PROD_GLASS_C3,WAREHOUSE_US_02,9968,12624,0,22592
inv_20260201_17,2026-02-01,PROD_GLASS_C3,WAREHOUSE_APAC_02,12017,12624,0,24641
inv_20260201_18,2026-02-01,PROD_GLASS_C3,WAREHOUSE_EU_02,13082,12624,0,25706
