quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260201_001,2026-02-01,PROD_GLASS_B2,BATCH_2026_02_01_001,83,DISCOLORATION,1.07
qual_20260201_002,2026-02-01,PROD_GLASS_C3,BATCH_2026_02_01_002,55,SURFACE_SCRATCH,1.1
qual_20260201_003,2026-02-01,PROD_GLASS_C3,BATCH_2026_02_01_003,193,BUBBLE,2.86
qual_20260201_004,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_004,16,CRACK,0.21
qual_20260201_005,2026-02-01,PROD_GLASS_B2,BATCH_2026_02_01_005,171,BUBBLE,2.28
qual_20260201_006,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_006,15,CRACK,0.25
qual_20260201_007,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_007,186,SURFACE_SCRATCH,3.53
qual_20260201_008,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_008,9,DIMENSION_OFF,0.18
qual_20260201_009,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_009,61,OTHER,0.72
qual_20260201_010,2026-02-01,PROD_GLASS_B2,BATCH_2026_02_01_010,21,CRACK,0.43
qual_20260201_011,2026-02-01,PROD_GLASS_A1,BATCH_2026_02_01_011,25,CRACK,0.46
qual_20260201_012,2026-02-01,PROD_GLASS_C3,BATCH_2026_02_01_012,284,DIMENSION_OFF,3.51
