inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock,stock_level,reorder_point,stock_status,inventory_validation,load_timestamp
INV04002,2026-08-14 18:00:00,Sunglasses,Delhi_WH,206,266,69,403,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04019,2026-08-15 11:00:00,Contact Lens,Mumbai_WH,268,88,106,250,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04020,2026-08-15 12:00:00,Reading Glasses,Bangalore_WH,258,211,70,399,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04050,2026-08-16 18:00:00,Sunglasses,Bangalore_WH,337,97,112,322,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04056,2026-08-17 00:00:00,Sunglasses,Delhi_WH,253,61,219,95,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04070,2026-08-17 14:00:00,Reading Glasses,Bangalore_WH,332,214,220,326,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04080,2026-08-18 00:00:00,Sunglasses,Mumbai_WH,495,60,180,375,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04091,2026-08-18 11:00:00,Contact Lens,Bangalore_WH,355,71,85,341,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04117,2026-08-19 13:00:00,Optical Frame,Delhi_WH,178,262,128,312,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04120,2026-08-19 16:00:00,Optical Frame,Bangalore_WH,472,128,200,400,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04134,2026-08-20 06:00:00,Sunglasses,Delhi_WH,123,161,164,120,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04140,2026-08-20 12:00:00,Prescription Lens,Delhi_WH,134,260,272,122,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04144,2026-08-20 16:00:00,Optical Frame,Bangalore_WH,433,72,117,388,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04145,2026-08-20 17:00:00,Reading Glasses,Delhi_WH,498,119,269,348,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04197,2026-08-22 21:00:00,Reading Glasses,Delhi_WH,303,255,123,435,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04210,2026-08-23 10:00:00,Sunglasses,Mumbai_WH,386,215,299,302,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04250,2026-08-25 02:00:00,Contact Lens,Mumbai_WH,459,71,127,403,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04257,2026-08-25 09:00:00,Reading Glasses,Bangalore_WH,272,254,223,303,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04315,2026-08-27 19:00:00,Contact Lens,Mumbai_WH,180,204,54,330,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04324,2026-08-28 04:00:00,Sunglasses,Delhi_WH,214,232,195,251,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04325,2026-08-28 05:00:00,Reading Glasses,Delhi_WH,345,236,108,473,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04328,2026-08-28 08:00:00,Reading Glasses,Mumbai_WH,499,196,63,632,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04329,2026-08-28 09:00:00,Reading Glasses,Delhi_WH,434,279,154,559,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04339,2026-08-28 19:00:00,Prescription Lens,Delhi_WH,254,235,296,193,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04350,2026-08-29 06:00:00,Reading Glasses,Mumbai_WH,170,241,176,235,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04372,2026-08-30 04:00:00,Reading Glasses,Bangalore_WH,334,92,238,188,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04377,2026-08-30 09:00:00,Reading Glasses,Bangalore_WH,102,149,242,9,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04396,2026-08-31 04:00:00,Reading Glasses,Mumbai_WH,120,296,78,338,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04402,2026-08-31 10:00:00,Optical Frame,Mumbai_WH,462,115,236,341,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04404,2026-08-31 12:00:00,Prescription Lens,Bangalore_WH,422,290,175,537,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04432,2026-09-01 16:00:00,Reading Glasses,Mumbai_WH,135,280,185,230,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04438,2026-09-01 22:00:00,Contact Lens,Mumbai_WH,174,269,116,327,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04468,2026-09-03 04:00:00,Contact Lens,Mumbai_WH,111,282,177,216,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04484,2026-09-03 20:00:00,Sunglasses,Bangalore_WH,454,171,284,341,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04493,2026-09-04 05:00:00,Sunglasses,Bangalore_WH,326,284,207,403,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04549,2026-09-06 13:00:00,Reading Glasses,Mumbai_WH,339,212,164,387,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04598,2026-09-08 14:00:00,Contact Lens,Mumbai_WH,219,57,57,219,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04599,2026-09-08 15:00:00,Optical Frame,Bangalore_WH,389,95,161,323,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04670,2026-09-11 14:00:00,Reading Glasses,Delhi_WH,312,91,106,297,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04683,2026-09-12 03:00:00,Sunglasses,Mumbai_WH,162,194,55,301,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04707,2026-09-13 03:00:00,Contact Lens,Mumbai_WH,355,247,138,464,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04719,2026-09-13 15:00:00,Contact Lens,Bangalore_WH,143,139,274,8,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04725,2026-09-13 21:00:00,Contact Lens,Bangalore_WH,340,236,60,516,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04740,2026-09-14 12:00:00,Reading Glasses,Delhi_WH,481,277,189,569,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04743,2026-09-14 15:00:00,Prescription Lens,Bangalore_WH,239,277,158,358,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04756,2026-09-15 04:00:00,Sunglasses,Mumbai_WH,467,59,142,384,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04757,2026-09-15 05:00:00,Contact Lens,Bangalore_WH,142,211,230,123,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04770,2026-09-15 18:00:00,Optical Frame,Bangalore_WH,412,197,199,410,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04772,2026-09-15 20:00:00,Sunglasses,Mumbai_WH,119,288,232,175,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04778,2026-09-16 02:00:00,Contact Lens,Delhi_WH,454,110,194,370,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04779,2026-09-16 03:00:00,Reading Glasses,Bangalore_WH,345,97,60,382,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04787,2026-09-16 11:00:00,Reading Glasses,Bangalore_WH,242,158,169,231,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04789,2026-09-16 13:00:00,Prescription Lens,Mumbai_WH,334,239,59,514,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04803,2026-09-17 03:00:00,Optical Frame,Delhi_WH,428,91,186,333,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04821,2026-09-17 21:00:00,Reading Glasses,Delhi_WH,353,88,73,368,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04823,2026-09-17 23:00:00,Contact Lens,Delhi_WH,211,258,197,272,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04834,2026-09-18 10:00:00,Contact Lens,Bangalore_WH,273,133,51,355,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04840,2026-09-18 16:00:00,Optical Frame,Bangalore_WH,145,227,163,209,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04844,2026-09-18 20:00:00,Contact Lens,Mumbai_WH,141,82,171,52,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04855,2026-09-19 07:00:00,Prescription Lens,Mumbai_WH,281,218,248,251,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04857,2026-09-19 09:00:00,Reading Glasses,Delhi_WH,206,87,202,91,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04861,2026-09-19 13:00:00,Contact Lens,Bangalore_WH,417,223,147,493,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04901,2026-09-21 05:00:00,Reading Glasses,Bangalore_WH,217,75,130,162,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04902,2026-09-21 06:00:00,Contact Lens,Bangalore_WH,329,173,295,207,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04904,2026-09-21 08:00:00,Sunglasses,Bangalore_WH,289,130,51,368,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04937,2026-09-22 17:00:00,Sunglasses,Mumbai_WH,392,203,71,524,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04954,2026-09-23 10:00:00,Sunglasses,Delhi_WH,127,92,194,25,CRITICAL,150,LOW,Pass,2026-04-12 09:21:04.313281
INV04961,2026-09-23 17:00:00,Contact Lens,Mumbai_WH,370,172,231,311,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
INV04974,2026-09-24 06:00:00,Contact Lens,Delhi_WH,359,77,142,294,CRITICAL,150,OK,Pass,2026-04-12 09:21:04.313281
