shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status,date,route,on_time,dispatch_date_dt,expected_delivery_date_dt,actual_delivery_date_dt,on_time_flag,delay_category,load_timestamp
SHP01022,ORD01022,Reading Glasses,161,Plant_A,Bangalore_WH,SUP7,2026-03-15 14:00:00,2026-03-16 14:00:00,2026-03-17 14:00:00,1,Delivered,2026-03-15 14:00:00,West Route,1,2026-03-15,2026-03-16,2026-03-17,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01041,ORD01041,Contact Lens,11,Plant_A,Delhi_WH,SUP7,2026-03-16 09:00:00,2026-03-17 09:00:00,2026-03-18 09:00:00,3,Delivered,2026-03-16 09:00:00,South Route,1,2026-03-16,2026-03-17,2026-03-18,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01045,ORD01045,Prescription Lens,34,Plant_A,Mumbai_WH,SUP3,2026-03-16 13:00:00,2026-03-17 13:00:00,2026-03-18 13:00:00,4,Delivered,2026-03-16 13:00:00,North Route,0,2026-03-16,2026-03-17,2026-03-18,0,Major Delay,2026-04-10 12:15:58.138368
SHP01073,ORD01073,Sunglasses,10,Plant_B,Mumbai_WH,SUP14,2026-03-17 17:00:00,2026-03-18 17:00:00,2026-03-19 17:00:00,3,Delivered,2026-03-17 17:00:00,East Route,1,2026-03-17,2026-03-18,2026-03-19,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01103,ORD01103,Prescription Lens,59,Plant_A,Mumbai_WH,SUP9,2026-03-18 23:00:00,2026-03-19 23:00:00,2026-03-20 23:00:00,0,Delivered,2026-03-18 23:00:00,North Route,1,2026-03-18,2026-03-19,2026-03-20,1,On-Time,2026-04-10 12:15:58.138368
SHP01107,ORD01107,Contact Lens,45,Plant_A,Bangalore_WH,SUP7,2026-03-19 03:00:00,2026-03-20 03:00:00,2026-03-21 03:00:00,5,Delivered,2026-03-19 03:00:00,South Route,1,2026-03-19,2026-03-20,2026-03-21,0,Major Delay,2026-04-10 12:15:58.138368
SHP01119,ORD01119,Prescription Lens,57,Plant_A,Delhi_WH,SUP17,2026-03-19 15:00:00,2026-03-20 15:00:00,2026-03-21 15:00:00,3,Delivered,2026-03-19 15:00:00,North Route,1,2026-03-19,2026-03-20,2026-03-21,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01166,ORD01166,Reading Glasses,124,Plant_A,Delhi_WH,SUP2,2026-03-21 14:00:00,2026-03-22 14:00:00,2026-03-23 14:00:00,4,Delayed,2026-03-21 14:00:00,North Route,1,2026-03-21,2026-03-22,2026-03-23,0,Major Delay,2026-04-10 12:15:58.138368
SHP01186,ORD01186,Prescription Lens,82,Plant_B,Bangalore_WH,SUP20,2026-03-22 10:00:00,2026-03-23 10:00:00,2026-03-24 10:00:00,5,Delivered,2026-03-22 10:00:00,West Route,1,2026-03-22,2026-03-23,2026-03-24,0,Major Delay,2026-04-10 12:15:58.138368
SHP01219,ORD01219,Prescription Lens,176,Plant_B,Delhi_WH,SUP1,2026-03-23 19:00:00,2026-03-24 19:00:00,2026-03-25 19:00:00,0,Delivered,2026-03-23 19:00:00,East Route,1,2026-03-23,2026-03-24,2026-03-25,1,On-Time,2026-04-10 12:15:58.138368
SHP01225,ORD01225,Sunglasses,171,Plant_A,Delhi_WH,SUP4,2026-03-24 01:00:00,2026-03-25 01:00:00,2026-03-26 01:00:00,5,Delivered,2026-03-24 01:00:00,West Route,1,2026-03-24,2026-03-25,2026-03-26,0,Major Delay,2026-04-10 12:15:58.138368
SHP01229,ORD01229,Sunglasses,59,Plant_B,Mumbai_WH,SUP18,2026-03-24 05:00:00,2026-03-25 05:00:00,2026-03-26 05:00:00,5,Delivered,2026-03-24 05:00:00,South Route,1,2026-03-24,2026-03-25,2026-03-26,0,Major Delay,2026-04-10 12:15:58.138368
SHP01244,ORD01244,Sunglasses,24,Plant_A,Bangalore_WH,SUP17,2026-03-24 20:00:00,2026-03-25 20:00:00,2026-03-26 20:00:00,5,Delivered,2026-03-24 20:00:00,East Route,1,2026-03-24,2026-03-25,2026-03-26,0,Major Delay,2026-04-10 12:15:58.138368
SHP01263,ORD01263,Reading Glasses,171,Plant_A,Delhi_WH,SUP10,2026-03-25 15:00:00,2026-03-26 15:00:00,2026-03-27 15:00:00,1,Delivered,2026-03-25 15:00:00,West Route,1,2026-03-25,2026-03-26,2026-03-27,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01264,ORD01264,Sunglasses,140,Plant_B,Mumbai_WH,SUP18,2026-03-25 16:00:00,2026-03-26 16:00:00,2026-03-27 16:00:00,0,Delivered,2026-03-25 16:00:00,West Route,1,2026-03-25,2026-03-26,2026-03-27,1,On-Time,2026-04-10 12:15:58.138368
SHP01287,ORD01287,Optical Frame,69,Plant_A,Bangalore_WH,SUP8,2026-03-26 15:00:00,2026-03-27 15:00:00,2026-03-28 15:00:00,5,Delivered,2026-03-26 15:00:00,North Route,0,2026-03-26,2026-03-27,2026-03-28,0,Major Delay,2026-04-10 12:15:58.138368
SHP01289,ORD01289,Optical Frame,115,Plant_B,Bangalore_WH,SUP8,2026-03-26 17:00:00,2026-03-27 17:00:00,2026-03-28 17:00:00,3,Delivered,2026-03-26 17:00:00,East Route,0,2026-03-26,2026-03-27,2026-03-28,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01313,ORD01313,Optical Frame,79,Plant_B,Bangalore_WH,SUP20,2026-03-27 17:00:00,2026-03-28 17:00:00,2026-03-29 17:00:00,6,Delivered,2026-03-27 17:00:00,North Route,1,2026-03-27,2026-03-28,2026-03-29,0,Major Delay,2026-04-10 12:15:58.138368
SHP01319,ORD01319,Contact Lens,27,Plant_B,Mumbai_WH,SUP2,2026-03-27 23:00:00,2026-03-28 23:00:00,2026-03-29 23:00:00,0,Delivered,2026-03-27 23:00:00,North Route,0,2026-03-27,2026-03-28,2026-03-29,1,On-Time,2026-04-10 12:15:58.138368
SHP01330,ORD01330,Prescription Lens,12,Plant_A,Delhi_WH,SUP11,2026-03-28 10:00:00,2026-03-29 10:00:00,2026-03-30 10:00:00,4,Delivered,2026-03-28 10:00:00,East Route,1,2026-03-28,2026-03-29,2026-03-30,0,Major Delay,2026-04-10 12:15:58.138368
SHP01338,ORD01338,Contact Lens,155,Plant_A,Mumbai_WH,SUP5,2026-03-28 18:00:00,2026-03-29 18:00:00,2026-03-30 18:00:00,4,Delivered,2026-03-28 18:00:00,South Route,1,2026-03-28,2026-03-29,2026-03-30,0,Major Delay,2026-04-10 12:15:58.138368
SHP01340,ORD01340,Sunglasses,79,Plant_A,Bangalore_WH,SUP10,2026-03-28 20:00:00,2026-03-29 20:00:00,2026-03-30 20:00:00,3,Delivered,2026-03-28 20:00:00,North Route,1,2026-03-28,2026-03-29,2026-03-30,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01427,ORD01427,Prescription Lens,43,Plant_B,Mumbai_WH,SUP12,2026-04-01 11:00:00,2026-04-02 11:00:00,2026-04-03 11:00:00,4,Delivered,2026-04-01 11:00:00,West Route,1,2026-04-01,2026-04-02,2026-04-03,0,Major Delay,2026-04-10 12:15:58.138368
SHP01438,ORD01438,Contact Lens,10,Plant_B,Delhi_WH,SUP2,2026-04-01 22:00:00,2026-04-02 22:00:00,2026-04-03 22:00:00,1,Delayed,2026-04-01 22:00:00,East Route,1,2026-04-01,2026-04-02,2026-04-03,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01442,ORD01442,Sunglasses,162,Plant_A,Bangalore_WH,SUP19,2026-04-02 02:00:00,2026-04-03 02:00:00,2026-04-04 02:00:00,0,Delayed,2026-04-02 02:00:00,South Route,1,2026-04-02,2026-04-03,2026-04-04,1,On-Time,2026-04-10 12:15:58.138368
SHP01443,ORD01443,Reading Glasses,98,Plant_A,Bangalore_WH,SUP1,2026-04-02 03:00:00,2026-04-03 03:00:00,2026-04-04 03:00:00,0,Delayed,2026-04-02 03:00:00,South Route,1,2026-04-02,2026-04-03,2026-04-04,1,On-Time,2026-04-10 12:15:58.138368
SHP01451,ORD01451,Optical Frame,93,Plant_B,Bangalore_WH,SUP18,2026-04-02 11:00:00,2026-04-03 11:00:00,2026-04-04 11:00:00,2,Delivered,2026-04-02 11:00:00,North Route,0,2026-04-02,2026-04-03,2026-04-04,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01452,ORD01452,Contact Lens,155,Plant_A,Delhi_WH,SUP3,2026-04-02 12:00:00,2026-04-03 12:00:00,2026-04-04 12:00:00,6,Delivered,2026-04-02 12:00:00,South Route,1,2026-04-02,2026-04-03,2026-04-04,0,Major Delay,2026-04-10 12:15:58.138368
SHP01456,ORD01456,Sunglasses,17,Plant_B,Delhi_WH,SUP10,2026-04-02 16:00:00,2026-04-03 16:00:00,2026-04-04 16:00:00,4,Delivered,2026-04-02 16:00:00,South Route,0,2026-04-02,2026-04-03,2026-04-04,0,Major Delay,2026-04-10 12:15:58.138368
SHP01466,ORD01466,Sunglasses,191,Plant_B,Bangalore_WH,SUP16,2026-04-03 02:00:00,2026-04-04 02:00:00,2026-04-05 02:00:00,1,Delivered,2026-04-03 02:00:00,West Route,0,2026-04-03,2026-04-04,2026-04-05,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01469,ORD01469,Sunglasses,36,Plant_B,Delhi_WH,SUP17,2026-04-03 05:00:00,2026-04-04 05:00:00,2026-04-05 05:00:00,3,Delayed,2026-04-03 05:00:00,North Route,0,2026-04-03,2026-04-04,2026-04-05,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01473,ORD01473,Prescription Lens,124,Plant_A,Mumbai_WH,SUP16,2026-04-03 09:00:00,2026-04-04 09:00:00,2026-04-05 09:00:00,1,Delayed,2026-04-03 09:00:00,North Route,1,2026-04-03,2026-04-04,2026-04-05,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01479,ORD01479,Reading Glasses,17,Plant_B,Delhi_WH,SUP14,2026-04-03 15:00:00,2026-04-04 15:00:00,2026-04-05 15:00:00,3,Delayed,2026-04-03 15:00:00,South Route,1,2026-04-03,2026-04-04,2026-04-05,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01483,ORD01483,Reading Glasses,98,Plant_A,Delhi_WH,SUP18,2026-04-03 19:00:00,2026-04-04 19:00:00,2026-04-05 19:00:00,6,Delivered,2026-04-03 19:00:00,North Route,1,2026-04-03,2026-04-04,2026-04-05,0,Major Delay,2026-04-10 12:15:58.138368
SHP01486,ORD01486,Optical Frame,122,Plant_B,Mumbai_WH,SUP2,2026-04-03 22:00:00,2026-04-04 22:00:00,2026-04-05 22:00:00,4,Delivered,2026-04-03 22:00:00,South Route,1,2026-04-03,2026-04-04,2026-04-05,0,Major Delay,2026-04-10 12:15:58.138368
SHP01501,ORD01501,Optical Frame,192,Plant_B,Bangalore_WH,SUP13,2026-04-04 13:00:00,2026-04-05 13:00:00,2026-04-06 13:00:00,6,Delayed,2026-04-04 13:00:00,South Route,1,2026-04-04,2026-04-05,2026-04-06,0,Major Delay,2026-04-10 12:15:58.138368
SHP01506,ORD01506,Prescription Lens,97,Plant_A,Bangalore_WH,SUP8,2026-04-04 18:00:00,2026-04-05 18:00:00,2026-04-06 18:00:00,1,Delivered,2026-04-04 18:00:00,East Route,1,2026-04-04,2026-04-05,2026-04-06,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01538,ORD01538,Contact Lens,92,Plant_A,Delhi_WH,SUP2,2026-04-06 02:00:00,2026-04-07 02:00:00,2026-04-08 02:00:00,5,Delayed,2026-04-06 02:00:00,East Route,0,2026-04-06,2026-04-07,2026-04-08,0,Major Delay,2026-04-10 12:15:58.138368
SHP01540,ORD01540,Prescription Lens,15,Plant_A,Mumbai_WH,SUP5,2026-04-06 04:00:00,2026-04-07 04:00:00,2026-04-08 04:00:00,0,Delivered,2026-04-06 04:00:00,West Route,1,2026-04-06,2026-04-07,2026-04-08,1,On-Time,2026-04-10 12:15:58.138368
SHP01548,ORD01548,Contact Lens,196,Plant_B,Mumbai_WH,SUP10,2026-04-06 12:00:00,2026-04-07 12:00:00,2026-04-08 12:00:00,1,Delayed,2026-04-06 12:00:00,South Route,1,2026-04-06,2026-04-07,2026-04-08,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01551,ORD01551,Reading Glasses,97,Plant_A,Bangalore_WH,SUP17,2026-04-06 15:00:00,2026-04-07 15:00:00,2026-04-08 15:00:00,3,Delivered,2026-04-06 15:00:00,South Route,1,2026-04-06,2026-04-07,2026-04-08,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01584,ORD01584,Optical Frame,110,Plant_A,Bangalore_WH,SUP1,2026-04-08 00:00:00,2026-04-09 00:00:00,2026-04-10 00:00:00,0,Delivered,2026-04-08 00:00:00,North Route,0,2026-04-08,2026-04-09,2026-04-10,1,On-Time,2026-04-10 12:15:58.138368
SHP01601,ORD01601,Sunglasses,49,Plant_B,Bangalore_WH,SUP9,2026-04-08 17:00:00,2026-04-09 17:00:00,2026-04-10 17:00:00,4,Delivered,2026-04-08 17:00:00,West Route,1,2026-04-08,2026-04-09,2026-04-10,0,Major Delay,2026-04-10 12:15:58.138368
SHP01603,ORD01603,Contact Lens,132,Plant_B,Bangalore_WH,SUP2,2026-04-08 19:00:00,2026-04-09 19:00:00,2026-04-10 19:00:00,4,Delivered,2026-04-08 19:00:00,East Route,1,2026-04-08,2026-04-09,2026-04-10,0,Major Delay,2026-04-10 12:15:58.138368
SHP01609,ORD01609,Prescription Lens,100,Plant_B,Bangalore_WH,SUP10,2026-04-09 01:00:00,2026-04-10 01:00:00,2026-04-11 01:00:00,6,Delivered,2026-04-09 01:00:00,North Route,1,2026-04-09,2026-04-10,2026-04-11,0,Major Delay,2026-04-10 12:15:58.138368
SHP01620,ORD01620,Reading Glasses,121,Plant_B,Delhi_WH,SUP15,2026-04-09 12:00:00,2026-04-10 12:00:00,2026-04-11 12:00:00,4,Delayed,2026-04-09 12:00:00,West Route,1,2026-04-09,2026-04-10,2026-04-11,0,Major Delay,2026-04-10 12:15:58.138368
SHP01641,ORD01641,Reading Glasses,107,Plant_B,Delhi_WH,SUP5,2026-04-10 09:00:00,2026-04-11 09:00:00,2026-04-12 09:00:00,4,Delivered,2026-04-10 09:00:00,East Route,1,2026-04-10,2026-04-11,2026-04-12,0,Major Delay,2026-04-10 12:15:58.138368
SHP01653,ORD01653,Sunglasses,172,Plant_A,Mumbai_WH,SUP18,2026-04-10 21:00:00,2026-04-11 21:00:00,2026-04-12 21:00:00,5,Delivered,2026-04-10 21:00:00,North Route,1,2026-04-10,2026-04-11,2026-04-12,0,Major Delay,2026-04-10 12:15:58.138368
SHP01666,ORD01666,Sunglasses,174,Plant_B,Bangalore_WH,SUP6,2026-04-11 10:00:00,2026-04-12 10:00:00,2026-04-13 10:00:00,0,Delivered,2026-04-11 10:00:00,North Route,0,2026-04-11,2026-04-12,2026-04-13,1,On-Time,2026-04-10 12:15:58.138368
SHP01671,ORD01671,Prescription Lens,127,Plant_A,Delhi_WH,SUP6,2026-04-11 15:00:00,2026-04-12 15:00:00,2026-04-13 15:00:00,5,Delayed,2026-04-11 15:00:00,East Route,0,2026-04-11,2026-04-12,2026-04-13,0,Major Delay,2026-04-10 12:15:58.138368
SHP01690,ORD01690,Prescription Lens,184,Plant_B,Bangalore_WH,SUP12,2026-04-12 10:00:00,2026-04-13 10:00:00,2026-04-14 10:00:00,4,Delivered,2026-04-12 10:00:00,West Route,1,2026-04-12,2026-04-13,2026-04-14,0,Major Delay,2026-04-10 12:15:58.138368
SHP01709,ORD01709,Prescription Lens,91,Plant_B,Mumbai_WH,SUP13,2026-04-13 05:00:00,2026-04-14 05:00:00,2026-04-15 05:00:00,5,Delivered,2026-04-13 05:00:00,North Route,1,2026-04-13,2026-04-14,2026-04-15,0,Major Delay,2026-04-10 12:15:58.138368
SHP01712,ORD01712,Prescription Lens,132,Plant_A,Mumbai_WH,SUP17,2026-04-13 08:00:00,2026-04-14 08:00:00,2026-04-15 08:00:00,1,Delivered,2026-04-13 08:00:00,North Route,1,2026-04-13,2026-04-14,2026-04-15,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01727,ORD01727,Reading Glasses,25,Plant_B,Bangalore_WH,SUP5,2026-04-13 23:00:00,2026-04-14 23:00:00,2026-04-15 23:00:00,0,Delivered,2026-04-13 23:00:00,East Route,0,2026-04-13,2026-04-14,2026-04-15,1,On-Time,2026-04-10 12:15:58.138368
SHP01750,ORD01750,Reading Glasses,116,Plant_B,Delhi_WH,SUP17,2026-04-14 22:00:00,2026-04-15 22:00:00,2026-04-16 22:00:00,5,Delivered,2026-04-14 22:00:00,West Route,1,2026-04-14,2026-04-15,2026-04-16,0,Major Delay,2026-04-10 12:15:58.138368
SHP01754,ORD01754,Sunglasses,28,Plant_A,Bangalore_WH,SUP19,2026-04-15 02:00:00,2026-04-16 02:00:00,2026-04-17 02:00:00,2,Delivered,2026-04-15 02:00:00,West Route,0,2026-04-15,2026-04-16,2026-04-17,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01771,ORD01771,Optical Frame,45,Plant_B,Bangalore_WH,SUP16,2026-04-15 19:00:00,2026-04-16 19:00:00,2026-04-17 19:00:00,5,Delivered,2026-04-15 19:00:00,North Route,0,2026-04-15,2026-04-16,2026-04-17,0,Major Delay,2026-04-10 12:15:58.138368
SHP01791,ORD01791,Sunglasses,92,Plant_B,Mumbai_WH,SUP11,2026-04-16 15:00:00,2026-04-17 15:00:00,2026-04-18 15:00:00,4,Delayed,2026-04-16 15:00:00,West Route,1,2026-04-16,2026-04-17,2026-04-18,0,Major Delay,2026-04-10 12:15:58.138368
SHP01798,ORD01798,Contact Lens,158,Plant_A,Bangalore_WH,SUP9,2026-04-16 22:00:00,2026-04-17 22:00:00,2026-04-18 22:00:00,1,Delayed,2026-04-16 22:00:00,North Route,1,2026-04-16,2026-04-17,2026-04-18,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01804,ORD01804,Optical Frame,131,Plant_B,Delhi_WH,SUP14,2026-04-17 04:00:00,2026-04-18 04:00:00,2026-04-19 04:00:00,1,Delayed,2026-04-17 04:00:00,South Route,1,2026-04-17,2026-04-18,2026-04-19,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01816,ORD01816,Prescription Lens,192,Plant_B,Bangalore_WH,SUP14,2026-04-17 16:00:00,2026-04-18 16:00:00,2026-04-19 16:00:00,2,Delivered,2026-04-17 16:00:00,West Route,1,2026-04-17,2026-04-18,2026-04-19,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01819,ORD01819,Reading Glasses,194,Plant_B,Delhi_WH,SUP17,2026-04-17 19:00:00,2026-04-18 19:00:00,2026-04-19 19:00:00,6,Delivered,2026-04-17 19:00:00,West Route,1,2026-04-17,2026-04-18,2026-04-19,0,Major Delay,2026-04-10 12:15:58.138368
SHP01831,ORD01831,Contact Lens,54,Plant_B,Bangalore_WH,SUP10,2026-04-18 07:00:00,2026-04-19 07:00:00,2026-04-20 07:00:00,1,Delivered,2026-04-18 07:00:00,East Route,1,2026-04-18,2026-04-19,2026-04-20,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01839,ORD01839,Contact Lens,51,Plant_A,Mumbai_WH,SUP2,2026-04-18 15:00:00,2026-04-19 15:00:00,2026-04-20 15:00:00,5,Delayed,2026-04-18 15:00:00,North Route,1,2026-04-18,2026-04-19,2026-04-20,0,Major Delay,2026-04-10 12:15:58.138368
